last_available_date,city,last_available_confirmed,ESPVIDA,FECTOT,RAZDEP,T_ENV,E_ANOSESTUDO,T_ANALF11A14,T_ANALF25A29,T_ATRASO_0_MED,T_ATRASO_1_BASICO,T_ATRASO_2_MED,T_FBBAS,T_FBMED,T_FBPRE,T_FBSUPER,T_FLBAS,T_FREQ0A3,T_FREQ11A14,T_FREQ15A17,T_FREQ18A24,T_FREQ25A29,T_FREQ4A5,T_FREQ6,T_FREQFUND1517,T_FREQFUND1824,T_FREQFUND45,T_FREQMED1824,T_FREQMED614,T_FREQSUPER1517,T_FUND11A13,T_FUND18A24,CORTE4,GINI,PIND,PRENTRAB,RIND,CPR,EMP,P_COM,P_CONSTR,P_EXTR,P_SERV,P_SIUP,P_TRANSF,T_ATIV,T_ATIV1014,T_DES,T_DES1014,T_DES1517,THEILtrab,TRABPUB,TRABSC,T_AGUA,T_DENS,T_LIXO,T_LUZ,PAREDE,T_M10A14CF,T_M15A17CF,T_MULCHEFEFIF014,T_OCUPDESLOC_1,T_RMAXIDOSO,HOMEM75A79,pesoRUR
2020-03-21,NATAL,6,75.08,1.58,40.87,7.02,9.85,4.51,3.51,70.76,19.46,7.42,106.11,84.25,78.37,43.51,88.42,29.08,95.65,84.92,38.77,18.86,88.39,94.4,28.61,2.88,26.41,8.12,2.57,1.68,87.76,79.9,1100.0,0.61,2.92,71.63,37.76,18.82,2.22,20.11,6.8,0.57,56.05,1.25,9.63,58.26,3.84,10.63,31.42,36.21,0.57,8.12,16.58,98.91,26.83,98.82,99.84,0.36,0.03,5.99,13.05,1.59,1.74,3578.0,0.0
2020-03-21,PARNAMIRIM,2,74.52,1.62,40.42,4.67,10.24,3.71,3.32,73.46,19.07,7.4,101.48,76.07,76.08,48.47,89.84,32.86,97.44,85.0,37.07,17.31,91.89,97.47,25.93,2.96,24.75,6.01,2.82,1.65,89.15,80.59,1190.0,0.55,2.68,78.76,37.34,20.03,2.05,20.51,7.58,0.91,54.9,0.87,9.24,58.72,3.92,9.95,21.05,41.06,0.48,12.42,17.47,98.66,24.24,98.81,99.89,0.12,0.25,7.61,13.27,0.99,1.53,580.0,0.0
2020-03-22,MOSSORÓ,1,73.64,1.95,42.87,6.33,9.97,4.54,5.73,70.95,19.13,6.55,107.26,83.94,68.45,34.04,88.36,32.51,96.94,84.0,35.33,16.91,92.81,97.72,26.72,3.19,26.17,9.05,2.57,2.1,87.18,76.98,733.33,0.52,3.72,79.4,33.58,20.93,1.95,19.72,9.78,4.5,43.71,0.76,8.52,55.37,3.93,10.88,36.28,36.45,0.44,4.55,17.42,92.76,27.37,97.94,99.57,1.23,0.22,5.92,12.89,0.43,2.26,1103.0,22574.0
2020-03-22,NATAL,9,75.08,1.58,40.87,7.02,9.85,4.51,3.51,70.76,19.46,7.42,106.11,84.25,78.37,43.51,88.42,29.08,95.65,84.92,38.77,18.86,88.39,94.4,28.61,2.88,26.41,8.12,2.57,1.68,87.76,79.9,1100.0,0.61,2.92,71.63,37.76,18.82,2.22,20.11,6.8,0.57,56.05,1.25,9.63,58.26,3.84,10.63,31.42,36.21,0.57,8.12,16.58,98.91,26.83,98.82,99.84,0.36,0.03,5.99,13.05,1.59,1.74,3578.0,0.0
2020-03-22,PARNAMIRIM,3,74.52,1.62,40.42,4.67,10.24,3.71,3.32,73.46,19.07,7.4,101.48,76.07,76.08,48.47,89.84,32.86,97.44,85.0,37.07,17.31,91.89,97.47,25.93,2.96,24.75,6.01,2.82,1.65,89.15,80.59,1190.0,0.55,2.68,78.76,37.34,20.03,2.05,20.51,7.58,0.91,54.9,0.87,9.24,58.72,3.92,9.95,21.05,41.06,0.48,12.42,17.47,98.66,24.24,98.81,99.89,0.12,0.25,7.61,13.27,0.99,1.53,580.0,0.0
2020-03-22,MOSSORÓ,1,73.64,1.95,42.87,6.33,9.97,4.54,5.73,70.95,19.13,6.55,107.26,83.94,68.45,34.04,88.36,32.51,96.94,84.0,35.33,16.91,92.81,97.72,26.72,3.19,26.17,9.05,2.57,2.1,87.18,76.98,733.33,0.52,3.72,79.4,33.58,20.93,1.95,19.72,9.78,4.5,43.71,0.76,8.52,55.37,3.93,10.88,36.28,36.45,0.44,4.55,17.42,92.76,27.37,97.94,99.57,1.23,0.22,5.92,12.89,0.43,2.26,1103.0,22574.0
2020-03-22,NATAL,9,75.08,1.58,40.87,7.02,9.85,4.51,3.51,70.76,19.46,7.42,106.11,84.25,78.37,43.51,88.42,29.08,95.65,84.92,38.77,18.86,88.39,94.4,28.61,2.88,26.41,8.12,2.57,1.68,87.76,79.9,1100.0,0.61,2.92,71.63,37.76,18.82,2.22,20.11,6.8,0.57,56.05,1.25,9.63,58.26,3.84,10.63,31.42,36.21,0.57,8.12,16.58,98.91,26.83,98.82,99.84,0.36,0.03,5.99,13.05,1.59,1.74,3578.0,0.0
2020-03-22,PARNAMIRIM,3,74.52,1.62,40.42,4.67,10.24,3.71,3.32,73.46,19.07,7.4,101.48,76.07,76.08,48.47,89.84,32.86,97.44,85.0,37.07,17.31,91.89,97.47,25.93,2.96,24.75,6.01,2.82,1.65,89.15,80.59,1190.0,0.55,2.68,78.76,37.34,20.03,2.05,20.51,7.58,0.91,54.9,0.87,9.24,58.72,3.92,9.95,21.05,41.06,0.48,12.42,17.47,98.66,24.24,98.81,99.89,0.12,0.25,7.61,13.27,0.99,1.53,580.0,0.0
2020-03-24,MOSSORÓ,1,73.64,1.95,42.87,6.33,9.97,4.54,5.73,70.95,19.13,6.55,107.26,83.94,68.45,34.04,88.36,32.51,96.94,84.0,35.33,16.91,92.81,97.72,26.72,3.19,26.17,9.05,2.57,2.1,87.18,76.98,733.33,0.52,3.72,79.4,33.58,20.93,1.95,19.72,9.78,4.5,43.71,0.76,8.52,55.37,3.93,10.88,36.28,36.45,0.44,4.55,17.42,92.76,27.37,97.94,99.57,1.23,0.22,5.92,12.89,0.43,2.26,1103.0,22574.0
2020-03-24,NATAL,9,75.08,1.58,40.87,7.02,9.85,4.51,3.51,70.76,19.46,7.42,106.11,84.25,78.37,43.51,88.42,29.08,95.65,84.92,38.77,18.86,88.39,94.4,28.61,2.88,26.41,8.12,2.57,1.68,87.76,79.9,1100.0,0.61,2.92,71.63,37.76,18.82,2.22,20.11,6.8,0.57,56.05,1.25,9.63,58.26,3.84,10.63,31.42,36.21,0.57,8.12,16.58,98.91,26.83,98.82,99.84,0.36,0.03,5.99,13.05,1.59,1.74,3578.0,0.0
2020-03-24,PARNAMIRIM,4,74.52,1.62,40.42,4.67,10.24,3.71,3.32,73.46,19.07,7.4,101.48,76.07,76.08,48.47,89.84,32.86,97.44,85.0,37.07,17.31,91.89,97.47,25.93,2.96,24.75,6.01,2.82,1.65,89.15,80.59,1190.0,0.55,2.68,78.76,37.34,20.03,2.05,20.51,7.58,0.91,54.9,0.87,9.24,58.72,3.92,9.95,21.05,41.06,0.48,12.42,17.47,98.66,24.24,98.81,99.89,0.12,0.25,7.61,13.27,0.99,1.53,580.0,0.0
2020-03-25,MOSSORÓ,1,73.64,1.95,42.87,6.33,9.97,4.54,5.73,70.95,19.13,6.55,107.26,83.94,68.45,34.04,88.36,32.51,96.94,84.0,35.33,16.91,92.81,97.72,26.72,3.19,26.17,9.05,2.57,2.1,87.18,76.98,733.33,0.52,3.72,79.4,33.58,20.93,1.95,19.72,9.78,4.5,43.71,0.76,8.52,55.37,3.93,10.88,36.28,36.45,0.44,4.55,17.42,92.76,27.37,97.94,99.57,1.23,0.22,5.92,12.89,0.43,2.26,1103.0,22574.0
2020-03-25,NATAL,9,75.08,1.58,40.87,7.02,9.85,4.51,3.51,70.76,19.46,7.42,106.11,84.25,78.37,43.51,88.42,29.08,95.65,84.92,38.77,18.86,88.39,94.4,28.61,2.88,26.41,8.12,2.57,1.68,87.76,79.9,1100.0,0.61,2.92,71.63,37.76,18.82,2.22,20.11,6.8,0.57,56.05,1.25,9.63,58.26,3.84,10.63,31.42,36.21,0.57,8.12,16.58,98.91,26.83,98.82,99.84,0.36,0.03,5.99,13.05,1.59,1.74,3578.0,0.0
2020-03-25,PARNAMIRIM,4,74.52,1.62,40.42,4.67,10.24,3.71,3.32,73.46,19.07,7.4,101.48,76.07,76.08,48.47,89.84,32.86,97.44,85.0,37.07,17.31,91.89,97.47,25.93,2.96,24.75,6.01,2.82,1.65,89.15,80.59,1190.0,0.55,2.68,78.76,37.34,20.03,2.05,20.51,7.58,0.91,54.9,0.87,9.24,58.72,3.92,9.95,21.05,41.06,0.48,12.42,17.47,98.66,24.24,98.81,99.89,0.12,0.25,7.61,13.27,0.99,1.53,580.0,0.0
2020-03-26,MOSSORÓ,2,73.64,1.95,42.87,6.33,9.97,4.54,5.73,70.95,19.13,6.55,107.26,83.94,68.45,34.04,88.36,32.51,96.94,84.0,35.33,16.91,92.81,97.72,26.72,3.19,26.17,9.05,2.57,2.1,87.18,76.98,733.33,0.52,3.72,79.4,33.58,20.93,1.95,19.72,9.78,4.5,43.71,0.76,8.52,55.37,3.93,10.88,36.28,36.45,0.44,4.55,17.42,92.76,27.37,97.94,99.57,1.23,0.22,5.92,12.89,0.43,2.26,1103.0,22574.0
2020-03-26,NATAL,13,75.08,1.58,40.87,7.02,9.85,4.51,3.51,70.76,19.46,7.42,106.11,84.25,78.37,43.51,88.42,29.08,95.65,84.92,38.77,18.86,88.39,94.4,28.61,2.88,26.41,8.12,2.57,1.68,87.76,79.9,1100.0,0.61,2.92,71.63,37.76,18.82,2.22,20.11,6.8,0.57,56.05,1.25,9.63,58.26,3.84,10.63,31.42,36.21,0.57,8.12,16.58,98.91,26.83,98.82,99.84,0.36,0.03,5.99,13.05,1.59,1.74,3578.0,0.0
2020-03-26,PARNAMIRIM,4,74.52,1.62,40.42,4.67,10.24,3.71,3.32,73.46,19.07,7.4,101.48,76.07,76.08,48.47,89.84,32.86,97.44,85.0,37.07,17.31,91.89,97.47,25.93,2.96,24.75,6.01,2.82,1.65,89.15,80.59,1190.0,0.55,2.68,78.76,37.34,20.03,2.05,20.51,7.58,0.91,54.9,0.87,9.24,58.72,3.92,9.95,21.05,41.06,0.48,12.42,17.47,98.66,24.24,98.81,99.89,0.12,0.25,7.61,13.27,0.99,1.53,580.0,0.0
2020-03-27,MOSSORÓ,5,73.64,1.95,42.87,6.33,9.97,4.54,5.73,70.95,19.13,6.55,107.26,83.94,68.45,34.04,88.36,32.51,96.94,84.0,35.33,16.91,92.81,97.72,26.72,3.19,26.17,9.05,2.57,2.1,87.18,76.98,733.33,0.52,3.72,79.4,33.58,20.93,1.95,19.72,9.78,4.5,43.71,0.76,8.52,55.37,3.93,10.88,36.28,36.45,0.44,4.55,17.42,92.76,27.37,97.94,99.57,1.23,0.22,5.92,12.89,0.43,2.26,1103.0,22574.0
2020-03-27,NATAL,19,75.08,1.58,40.87,7.02,9.85,4.51,3.51,70.76,19.46,7.42,106.11,84.25,78.37,43.51,88.42,29.08,95.65,84.92,38.77,18.86,88.39,94.4,28.61,2.88,26.41,8.12,2.57,1.68,87.76,79.9,1100.0,0.61,2.92,71.63,37.76,18.82,2.22,20.11,6.8,0.57,56.05,1.25,9.63,58.26,3.84,10.63,31.42,36.21,0.57,8.12,16.58,98.91,26.83,98.82,99.84,0.36,0.03,5.99,13.05,1.59,1.74,3578.0,0.0
2020-03-27,PARNAMIRIM,4,74.52,1.62,40.42,4.67,10.24,3.71,3.32,73.46,19.07,7.4,101.48,76.07,76.08,48.47,89.84,32.86,97.44,85.0,37.07,17.31,91.89,97.47,25.93,2.96,24.75,6.01,2.82,1.65,89.15,80.59,1190.0,0.55,2.68,78.76,37.34,20.03,2.05,20.51,7.58,0.91,54.9,0.87,9.24,58.72,3.92,9.95,21.05,41.06,0.48,12.42,17.47,98.66,24.24,98.81,99.89,0.12,0.25,7.61,13.27,0.99,1.53,580.0,0.0
